Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
R3,301010088,1
R5,301010100,1
"R7,R8",301010289,2
R4,301010291,1
"R9,R10,R11,R12,R13,R14,R21,R22",301010292,8
"R1,R2,R6,R15,R16,R17,R18,R19,R20",301010293,9
"C9,C10",302010007,2
C11,302010103,1
"C3,C13,C15",302010111,3
"C2,C4,C5,C12,C14",302010138,5
"C1,C16,C17,C18,C19,C20,C21,C22,C23,C24",302010139,10
"C6,C8",302010171,2
C7,302020008,1
L2,303030008,1
"D1,D2,D3",304020012,3
Q2,305030015,1
Q1,305030028,1
U3,310030097,1
U2,310030153,1
U4,310070030,1
SW1,311020017,1
J3,320010005,1
J5,320060000,1
J4,320090008,1
BT1,320180010,1
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15",DO_NOT_POPULATE,15
U1,ESP32-WROOM-32,1
L1,SWPA4030S6R8MT,1
R23,aoeu,1
L3,aoue,1
